Date,IV,RV,VRP (IV - RV)
2021-02-02,25.559999465942383,17.334340465061977,8.225659000880405
2021-02-03,22.90999984741211,17.21755822453894,5.692441622873169
2021-02-04,21.770000457763672,17.48077804829486,4.289222409468813
2021-02-05,20.8700008392334,16.81257024875683,4.057430590476567
2021-02-08,21.239999771118164,16.891586865397944,4.34841290572022
2021-02-09,21.6299991607666,16.668970714255675,4.961028446510927
2021-02-10,21.989999771118164,16.677405311434015,5.312594459684149
2021-02-11,21.25,16.674617579606362,4.5753824203936375
2021-02-12,19.969999313354492,16.599020789042935,3.370978524311557
2021-02-16,21.459999084472656,16.284782657966172,5.175216426506484
2021-02-17,21.5,16.149215678218784,5.350784321781216
2021-02-18,22.489999771118164,15.623063348828218,6.866936422289946
2021-02-19,22.049999237060547,15.651000827310835,6.398998409749712
2021-02-22,23.450000762939453,15.889048548639796,7.5609522142996575
2021-02-23,23.110000610351562,15.84896755965112,7.261033050700442
2021-02-24,21.34000015258789,16.296377149175783,5.043623003412108
2021-02-25,28.889999389648438,16.029893221959533,12.860106167688905
2021-02-26,27.950000762939453,15.812702683549965,12.137298079389488
2021-03-01,23.350000381469727,16.03402562690778,7.315974754561946
2021-03-02,24.100000381469727,15.622555444245052,8.477444937224675
2021-03-03,26.670000076293945,15.682530392484232,10.987469683809714
2021-03-04,28.56999969482422,16.379209843019908,12.190789851804311
2021-03-05,24.65999984741211,17.424780131916293,7.235219715495816
2021-03-08,25.469999313354492,17.433517341274886,8.036481972079606
2021-03-09,24.030000686645508,18.00363940799675,6.026361278648757
2021-03-10,22.559999465942383,18.149324281495478,4.410675184446905
2021-03-11,21.90999984741211,18.527303042562597,3.3826968048495125
2021-03-12,20.690000534057617,18.522774635339438,2.167225898718179
2021-03-15,20.030000686645508,18.588575391055663,1.4414252955898448
2021-03-16,19.790000915527344,18.599124480100762,1.1908764354265813
2021-03-17,19.229999542236328,18.617711030621162,0.6122885116151657
2021-03-18,21.579999923706055,19.342361247666556,2.2376386760394986
2021-03-19,20.950000762939453,19.331352977129022,1.6186477858104311
2021-03-22,18.8799991607666,19.2468969321856,-0.3668977714189978
2021-03-23,20.299999237060547,19.478920453704145,0.8210787833564019
2021-03-24,21.200000762939453,19.13936055311384,2.060640209825614
2021-03-25,19.809999465942383,16.91739182082827,2.8926076451141114
2021-03-26,18.860000610351562,17.619232920810052,1.24076768954151
2021-03-29,20.739999771118164,15.711396189865019,5.0286035812531455
2021-03-30,19.610000610351562,15.431309358431488,4.178691251920075
2021-03-31,19.399999618530273,14.492651444776541,4.907348173753732
2021-04-01,17.329999923706055,13.665972680374033,3.664027243332022
2021-04-05,17.90999984741211,12.987019017327603,4.922980830084507
2021-04-06,18.1200008392334,12.702440145596261,5.417560693637137
2021-04-07,17.15999984741211,12.044467732293835,5.115532115118274
2021-04-08,16.950000762939453,11.993093132521233,4.95690763041822
2021-04-09,16.690000534057617,11.797939275976226,4.892061258081391
2021-04-12,16.90999984741211,11.823899527314644,5.086100320097465
2021-04-13,16.649999618530273,11.728164036107886,4.921835582422387
2021-04-14,16.989999771118164,11.867251245637938,5.122748525480226
2021-04-15,16.56999969482422,12.292478854864598,4.277520839959621
2021-04-16,16.25,10.460457091467582,5.789542908532418
2021-04-19,17.290000915527344,10.82371813049111,6.466282785036233
2021-04-20,18.68000030517578,11.266228973421185,7.413771331754596
2021-04-21,17.5,10.854525038442613,6.645474961557387
2021-04-22,18.709999084472656,11.32920068950632,7.380798394966336
2021-04-23,17.329999923706055,11.644688149951776,5.685311773754279
2021-04-26,17.639999389648438,10.562288860770169,7.077710528878269
2021-04-27,17.559999465942383,10.536251559370635,7.023747906571748
2021-04-28,17.280000686645508,10.398087336843938,6.88191334980157
2021-04-29,17.610000610351562,10.490927256719663,7.119073353631899
2021-04-30,18.610000610351562,10.532572343516636,8.077428266834927
2021-05-03,18.309999465942383,9.478199722996418,8.831799742945964
2021-05-04,19.479999542236328,9.877039196394097,9.60296034584223
2021-05-05,19.149999618530273,9.876969326389794,9.27303029214048
2021-05-06,18.389999389648438,10.137367275853347,8.25263211379509
2021-05-07,16.690000534057617,10.109116868548234,6.580883665509383
2021-05-10,19.65999984741211,10.93035441139396,8.72964543601815
2021-05-11,21.84000015258789,11.378152484562342,10.461847668025548
2021-05-12,27.59000015258789,13.716157147158542,13.873843005429348
2021-05-13,23.1299991607666,13.842349622258912,9.28764953850769
2021-05-14,18.809999465942383,14.83972869397013,3.9702707719722525
2021-05-17,19.719999313354492,14.743309961458188,4.9766893518963045
2021-05-18,21.34000015258789,14.86172024956596,6.47827990302193
2021-05-19,22.18000030517578,14.469811163909222,7.710189141266559
2021-05-20,20.670000076293945,14.618564494151464,6.0514355821424815
2021-05-21,20.149999618530273,14.075278582405288,6.074721036124986
2021-05-24,18.399999618530273,14.518466937609679,3.8815326809205946
2021-05-25,18.84000015258789,14.54004487976667,4.2999552728212205
2021-05-26,17.360000610351562,14.550706738624433,2.80929387172713
2021-05-27,16.739999771118164,14.349136370027782,2.3908634010903818
2021-05-28,16.760000228881836,14.103344772322387,2.6566554565594487
2021-06-01,17.899999618530273,14.074907580205801,3.825092038324472
2021-06-02,17.479999542236328,13.847150515529064,3.632849026707264
2021-06-03,18.040000915527344,13.9249170902914,4.115083825235944
2021-06-04,16.420000076293945,13.976258304970827,2.4437417713231184
2021-06-07,16.420000076293945,13.731230893208737,2.688769183085208
2021-06-08,17.06999969482422,13.168280975611712,3.901718719212507
2021-06-09,17.889999389648438,12.752345702478065,5.137653687170372
2021-06-10,16.100000381469727,9.638578655039652,6.461421726430075
2021-06-11,15.649999618530273,8.889236530690212,6.760763087840061
2021-06-14,16.389999389648438,7.403852807047715,8.986146582600721
2021-06-15,17.020000457763672,7.373533581260254,9.646466876503418
2021-06-16,18.149999618530273,6.902596008726686,11.247403609803587
2021-06-17,17.75,6.761048642504279,10.988951357495722
2021-06-18,20.700000762939453,7.649985557385108,13.050015205554345
2021-06-21,17.889999389648438,9.072568591280913,8.817430798367525
